opening,pattern,S1_size,best_g2,exp_remaining_after_g2,singleton_rate,max_bucket,entropy_bits,pool_size_evaluated,pool_rule
soare,11000,23,flint,2.0434782608695654,0.43478260869565216,4,3.708132064658601,203,disjoint_from_soare
soare,11001,8,input,1.25,0.75,2,2.75,203,disjoint_from_soare
soare,11002,5,bitch,1.0,1.0,1,2.321928094887362,203,disjoint_from_soare
soare,11010,12,piggy,2.3333333333333335,0.3333333333333333,4,2.584962500721156,203,disjoint_from_soare
soare,11011,3,buggy,1.0,1.0,1,1.584962500721156,203,disjoint_from_soare
soare,11012,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,11020,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,11100,8,limit,1.25,0.75,2,2.75,203,disjoint_from_soare
soare,11110,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,11112,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,11200,3,billy,1.0,1.0,1,1.584962500721156,203,disjoint_from_soare
soare,11210,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,12000,71,blunt,7.366197183098592,0.19718309859154928,14,3.8547522709800304,203,disjoint_from_soare
soare,12001,36,nymph,6.611111111111111,0.16666666666666666,13,2.969226895481258,203,disjoint_from_soare
soare,12002,11,clump,1.7272727272727273,0.5454545454545454,3,2.8453509366224368,203,disjoint_from_soare
soare,12010,20,twink,3.7,0.2,7,2.8016094970590277,203,disjoint_from_soare
soare,12011,10,lipid,1.8,0.5,3,2.6464393446710157,203,disjoint_from_soare
soare,12012,4,chump,1.0,1.0,1,2.0,203,disjoint_from_soare
soare,12020,6,pithy,1.3333333333333333,0.6666666666666666,2,2.2516291673878226,203,disjoint_from_soare
soare,12100,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,12200,11,blunt,1.9090909090909092,0.36363636363636365,3,2.6635327548042547,203,disjoint_from_soare
soare,12210,2,biddy,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,20000,86,think,3.302325581395349,0.29069767441860467,7,5.030275075070572,203,disjoint_from_soare
soare,20001,62,flint,6.096774193548387,0.11290322580645161,14,3.7684548859131484,203,disjoint_from_soare
soare,20002,26,glint,2.4615384615384617,0.38461538461538464,4,3.6423714487439023,203,disjoint_from_soare
soare,20010,10,butch,1.2,0.8,2,3.1219280948873624,203,disjoint_from_soare
soare,20011,22,width,3.090909090909091,0.36363636363636365,6,3.2089873002588,203,disjoint_from_soare
soare,20012,4,chump,1.0,1.0,1,2.0,203,disjoint_from_soare
soare,20020,9,filth,1.2222222222222223,0.7777777777777778,2,2.94770277922009,203,disjoint_from_soare
soare,20021,2,bitch,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,20022,2,bitch,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,20100,25,build,2.68,0.36,5,3.5092750707107134,203,disjoint_from_soare
soare,20101,14,twink,2.2857142857142856,0.5,4,2.8962915290459277,203,disjoint_from_soare
soare,20102,3,bitch,1.0,1.0,1,1.584962500721156,203,disjoint_from_soare
soare,20110,8,putty,1.0,1.0,1,3.0,203,disjoint_from_soare
soare,20111,10,nymph,3.0,0.5,5,2.1609640474436813,203,disjoint_from_soare
soare,20200,50,think,3.64,0.2,8,4.113269689515108,203,disjoint_from_soare
soare,20201,3,blimp,1.0,1.0,1,1.584962500721156,203,disjoint_from_soare
soare,20202,19,klutz,2.8947368421052633,0.3684210526315789,6,3.11583409216322,203,disjoint_from_soare
soare,20210,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,20220,15,thick,2.466666666666667,0.13333333333333333,3,2.689246428509158,203,disjoint_from_soare
soare,20221,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,20222,5,pinch,1.0,1.0,1,2.321928094887362,203,disjoint_from_soare
soare,21000,46,pitch,4.086956521739131,0.21739130434782608,7,3.7704053709680085,203,disjoint_from_soare
soare,21001,2,biddy,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,21002,12,think,1.8333333333333333,0.4166666666666667,3,2.8553885422075336,203,disjoint_from_soare
soare,21010,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,21020,10,itchy,1.6,0.4,2,2.721928094887362,203,disjoint_from_soare
soare,21022,6,pinch,1.3333333333333333,0.6666666666666666,2,2.2516291673878226,203,disjoint_from_soare
soare,21100,5,civil,1.0,1.0,1,2.321928094887362,203,disjoint_from_soare
soare,21110,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,22000,14,unity,1.1428571428571428,0.8571428571428571,2,3.6644977792004614,203,disjoint_from_soare
soare,22001,2,billy,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,22002,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,22010,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,22011,3,biddy,1.6666666666666667,0.3333333333333333,2,0.9182958340544896,203,disjoint_from_soare
soare,22020,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,22100,1,biddy,1.0,1.0,1,-0.0,203,disjoint_from_soare
soare,22110,2,billy,1.0,1.0,1,1.0,203,disjoint_from_soare
soare,22200,2,biddy,1.0,1.0,1,1.0,203,disjoint_from_soare
